subclone_1,subclone_2,total_tumor,days
551.4491383665613,44.892841855365546,596.3419802219269,274
546.8899813961152,44.613589825788736,591.5035712219039,275
542.4493622551772,44.341298040310846,586.7906602954881,276
538.1254667172595,44.07576738575125,582.2012341030108,277
533.9167357706691,43.81680945110288,577.733545221772,278
529.8218656185066,43.564246527532276,573.386112146039,279
525.8393397799222,43.31792461657039,569.1572643964926,280
521.959053302738,43.07795426912608,565.037007571864,281
518.1759897806218,42.84433442117972,561.0203242018015,282
514.4885491128372,42.6169737231669,557.1055228360041,283
510.8951478713662,42.395781662878015,553.2909295342442,284
507.3942193009083,42.18066856545829,549.5748878663666,285
503.9842133188809,41.971545593407726,545.9557589122886,286
500.6635965154194,41.76832474658116,542.4319212620005,287
497.43085215337686,41.5709188621882,539.001771015565,288
494.2844801683243,41.3792416147933,535.6637217831176,289
491.22299716855053,41.19320751631569,532.4162046848662,290
488.2449364350622,41.012731916029416,529.2576683510916,291
485.3488479215838,40.83773100056333,526.1865789221471,292
482.5332982545578,40.668121793901086,523.2014200484589,293
479.79687073314426,40.503822157381165,520.3006928905254,294
477.13816532922135,40.344750789696825,517.4829161189182,295
474.55579868738494,40.19082722689614,514.746625914281,296
472.04840412494866,40.041971842382004,512.0903759673307,297
469.61463163194423,39.898105846912095,509.5127374788563,298
467.25314787112103,39.759151288598915,507.01229915971993,299
464.96263617794637,39.62503105290977,504.58766723085614,300
462.7417965606053,39.495668862666754,502.23746542327206,301
460.58934570000076,39.37098927804679,499.96033497804757,302
458.5040169497537,39.2509176965816,497.7549346463353,303
456.48456033620266,39.13538035315771,495.61994068936036,304
454.52974255840417,39.02430432001644,493.5540468784206,305
452.6383469881325,38.91761750675394,491.55596449488644,306
450.80917366988,38.81524866032115,489.6244223302012,307
449.0410393208566,38.71712736502383,487.75816668588044,308
447.33277733099015,38.623184042522524,485.95596137351265,309
445.68323776292647,38.5333499518326,484.21658771475904,310
444.091287352029,38.44755718932423,482.5388445413532,311
442.55580950637926,38.36573868872238,480.92154819510165,312
441.0757043067765,38.28782822110684,479.36353252788336,313
439.64988850673774,38.2137603949122,477.8636489016499,314
438.277295532498,38.14347065592784,476.42076618842583,315
436.9568754830101,38.07689528729798,475.0337707703081,316
435.6875951299446,38.01397140952161,473.7015665394662,317
434.46843791769004,37.95463698045255,472.4230748981426,318
433.29840396335265,37.8988307952994,471.19723475865203,319
432.17651005675674,37.846492486625614,470.02300254338235,320
431.10178966044424,37.7975625243494,468.89935218479366,321
430.07329290967505,37.751982215743816,467.82527512541884,322
429.09008661242683,37.70969370543668,466.7997803178635,323
